"HDR","FEC","8.5","FECfile","8.5.0.0(f33)","",""
"F3XN","C00892471","MAGA INC.","","C/O BULLDOG COMPLIANCE","100 CUMMINGS CENTER STE 306-P","BEVERLY","MA","01915","M3","","","","20260201","20260228","","GANTT","CHARLES","","","","20260320","310894261.17","1523742.12","312418003.29","132432.58","312285570.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1523742.12","0.00","0.00","0.00","1523742.12","1523742.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","132432.58","0.00","0.00","0.00","0.00","132432.58","132432.58","0.00","0.00","0.00","0.00","0.00","0.00","304395525.76","2026","8100538.28","312496064.04","210493.33","312285570.71","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8100538.28","0.00","0.00","0.00","8100538.28","8100538.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","210493.33","0.00","0.00","0.00","0.00","210493.33","210493.33","0.00","0.00","0.00","0.00","0.00","0.00"
"SA17","C00892471","SA17.5221","","","ORG","HEALTHEQUITY TRUST COMPANY","","","","","","15 W. SCENIC POINTE DR., STE. 100","","DRAPER","UT","84020","","","20260206","1000000.00","1000000.00","NON-CONTRIBUTION","","","","","","","","","","","","","","","","","","","","","",""
"SA17","C00892471","SA17.5222","","","ORG","JP MORGAN CHASE BANK, N.A.","","","","","","270 PARK AVENUE","","NEW YORK","NY","10017","","","20260227","523692.12","1100413.28","NON-CONTRIBUTION: INTEREST","","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5225","","","ORG","AMERICAN EXPRESS","","","","","","200 VESEY ST","BATTERY PARK CITY","NEW YORK CITY","NY","10285","","","20260203","42547.84","","NON-CONTRIBUTION: CREDIT CARD PAYMENT: SEE MEMO ENTRIES IF REQUIRED","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5235","","","ORG","CHAIN BRIDGE BANK N.A.","","","","","","1445A LAUGHLIN AVE","","MCLEAN","VA","22101","","","20260227","25.00","","NON-CONTRIBUTION: BANK FEE","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5242","","","IND","","CONYERS","ERIK","","","","1221 S EADS STREET","APT 1511","ARLINGTON","VA","22202","","","20260206","2500.00","","NON CONTRIBUTION: EVENT MANAGEMENT CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5246","","","ORG","DEPARTMENT OF THE AIR FORCE","","","","","","EEOB ROOM 25","1600 PENNSYLVANIA","WASHINGTON","DC","20502","","","20251231","18840.36","","NON-CONTRIBUTION: CREDIT CARD PMT [SB21B.5225]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB29","C00892471","SB29.5247","","","ORG","DEPARTMENT OF THE AIR FORCE","","","","","","EEOB ROOM 25","1600 PENNSYLVANIA","WASHINGTON","DC","20502","","","20260104","22725.48","","NON-CONTRIBUTION: CREDIT CARD PMT [SB21B.5225]: TRAVEL: AIR","","","","","","","","","","","","","","","","","","","X","",""
"SB29","C00892471","SB29.5245","","","ORG","FIRST STREET PLLC","","","","","","625 N. WASHINGTON STREET","STE 325","ALEXANDRIA","VA","22314","","","20260225","10000.00","","NON-CONTRIBUTION: LEGAL CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5236","","","ORG","FORWARD STRATEGIES","","","","","","7222 ANHINGA FARMS ROAD","","TALLAHASSEE","FL","32309","","","20260213","10000.00","","NON-CONTRIBUTION: FUNDRAISING CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5243","","","ORG","FROST FLORIDA","","","","","","701 BOUTWELL RD","STE A-5","LAKE WORTH","FL","33461","","","20260205","7477.16","","NON-CONTRIBUTION: EVENT EXPENSE: STAGING, AUDIO/VISUAL EQUIPMENT, EVENT MANAGEMENT CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5244","","","ORG","FROST FLORIDA","","","","","","701 BOUTWELL RD","STE A-5","LAKE WORTH","FL","33461","","","20260213","7477.16","","NON-CONTRIBUTION: EVENT EXPENSE: STAGING, AUDIO/VISUAL EQUIPMENT, EVENT MANAGEMENT CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5240","","","ORG","LANSDALE LLC","","","","","","7509 NW TIFFANY SPRINGS PKWY","STE 300","KANSAS CITY","MO","64153","","","20260224","10000.00","","NON-CONTRIBUTION: STRATEGIC POLITICAL CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5241","","","ORG","LANSDALE LLC","","","","","","7509 NW TIFFANY SPRINGS PKWY","STE 300","KANSAS CITY","MO","64153","","","20260224","10000.00","","NON-CONTRIBUTION: STRATEGIC POLITICAL CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5239","","","ORG","MAR-A-LAGO CLUB, LLC","","","","","","1100 S OCEAN BLVD","","PALM BEACH","FL","33480","","","20260219","7188.75","","NON-CONTRIBUTION: EVENT EXPENSE: FACILITIES RENTAL AND CATERING SERVICES","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5237","","","ORG","PERCIPIENT STRATEGIES LLC","","","","","","80 M STREET, SE","FLR 1","WASHINGTON","DC","20003","","","20260226","7500.00","","NON-CONTRIBUTION: RESEARCH CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB29","C00892471","SB29.5238","","","ORG","PFEIFFER PUBLIC AFFAIRS, LLC","","","","","","8 THE GREEN","SUITE #11328","DOVER","DE","19901","","","20260203","7500.00","","NON-CONTRIBUTION: COMMUNICATIONS CONSULTING","","","","","","","","","","","","","","","","","","","","",""
